"path","yocto","openwrt"
"opensource/lua","lua","lua"
"opensource/openssl","openssl","openssl"
"opensource/curl","curl","curl"
"opensource/mosquitto","mosquitto","mosquitto"
"opensource/libnetfilter-conntrack","libnetfilter-conntrack","libnetfilter-conntrack"
"opensource/libmnl","libmnl","libmnl"
"opensource/expat","expat","expat"
"opensource/libnflink","libnfnetlink","libnfnetlink"
"opensource/sqlite3","sqlite3","sqlite3"
"opensource/libuuid","util-linux","util-linux"
"opensource/apparmor","apparmor","apparmor"
"opensource/lxc","lxc","lxc"
"opensource/libcap","libcap","libcap"
"opensource/zlib","zlib","zlib"
"opensource/iptables","iptables","iptables"
"opensource/libevent","libevent","libevent2"
"opensource/libyajl","yajl","yajl"
"opensource/uriparser","uriparser","uriparser"
"opensource/protobuf","protobuf","protobuf"
"opensource/protobufc","protobuf-c","protobuf-c"
"opensource/tensorflow","tensorflow","tensorflow"
"opensource/ubus","ubus","ubus"
"opensource/rbus","rbus","rbus"
"opensource/libubox","libubox","libubox"
"opensource/libreadline","readline","readline"
"opensource/libncurses","ncurses","ncurses"
"opensource/libqrencode","qrencode","qrencode"
"opensource/libxml2","libxml2","libxml2"
"opensource/iconv","libiconv","iconv"
"opensource/libarchive","libarchive","libarchive"
"opensource/sox","sox","sox"
"opensource/libxslt","libxslt","libxslt"
"opensource/doxygen","doxygen","doxygen"
"opensource/libiptc","libiptc","libiptc"
"opensource/libwebsockets","libwebsockets","libwebsockets4-full"
"opensource/bison","bison","bison"
"opensource/flex","flex","flex"
"opensource/fastcgi","fcgi","fcgi"
"opensource/c-ares","c-ares","c-ares"
"opensource/gpgme","gpgme","gpgme"
"opensource/lighttpd","lighttpd","lighttpd"
"opensource/lighttpd-mod-cgi","lighttpd-module-cgi","lighttpd-mod-cgi"
"opensource/lighttpd-mod-fastcgi","lighttpd-module-fastcgi","lighttpd-mod-fastcgi"
"opensource/lighttpd-mod-auth","lighttpd-module-auth","lighttpd-mod-auth"
"opensource/lighttpd-mod-expire","lighttpd-module-expire","lighttpd-mod-expire"
"opensource/lighttpd-mod-authn_file","lighttpd-module-authn-file","lighttpd-mod-authn_file"
"opensource/lighttpd-mod-proxy","lighttpd-module-proxy","lighttpd-mod-proxy"
"opensource/libnetlink","libnl","libnl-core"
"opensource/ucode","ucode","ucode"
"prpl-foundation/mirrors/odhcp6c","odhcp6c","odhcp6c"
"opensource/procps","procps","procps-ng"
"opensource/radvd","radvd","radvd"
"opensource/libupnp","libupnp","libupnp"
"opensource/dbus","dbus","libdbus"
"opensource/libtar","libtar","libtar"
"opensource/grpc","grpc","grpc"
"opensource/dtc","dtc","dtc"
"opensource/libcapng","libcap-ng","libcap-ng"
"opensource/libhiredis","hiredis","libhiredis"
"opensource/unbound","unbound","unbound-prpl"
"opensource/miniupnpd","miniupnpd","miniupnpd-prpl"
"opensource/json-c","json-c","libjson-c"
"opensource/opennds","opennds","opennds-prpl"
"opensource/ppp","ppp","ppp-prpl"
"opensource/dnsmasq","dnsmasq","dnsmasq-prpl"
"opensource/chrony","chrony","chrony-prpl"
"opensource/libgpiod","libgpiod","libgpiod"
"opensource/umdns","umdns","umdns-prpl"
"opensource/odhcpd","odhcpd","odhcpd"
"opensource/blkid","blkid","blkid"
"opensource/librnp","librnp","librnp"
