"path","yocto","openwrt"
"opensource/openssl","openssl","libopenssl"
"opensource/libuuid","util-linux-libuuid","libuuid"
"opensource/expat","expat","libexpat"
"opensource/libevent","libevent","libevent2"
"opensource/mosquitto","mosquitto","libmosquitto"
"opensource/protobufc","protobuf-c","libprotobuf-c"
"opensource/gpgme","gpgme","libgpgme"
"opensource/c-ares","c-ares","libcares"
"opensource/libnetlink","libnl","libnl-core"
"opensource/procps","procps","procps-ng"
"opensource/libwebsockets","libwebsockets","libwebsockets4-full"
"opensource/libncurses","ncurses","libncurses"
"opensource/sqlite3","sqlite3","libsqlite3"
"opensource/unbound","unbound","unbound-daemon-prpl"
"opensource/mfgdecrypt","mfgdecrypt","kmod-mfgdecrypt"
"opensource/libsysfs","sysfsutils","libsysfs"
